Converting ICESat/GLAS binary freeboard vector data to ASCII
Wed Feb 12 09:56:17 2014

write_fb:
  file_in:       laser3k0001002.dat
  laser_period:  3k
  track:         0001
  cycle:         002
  file_out:      laser3k0001002.txt
  non_zero_only:        0
  nan_replace:       -999

read_fb:
  Year:                  2008
  Month:                   10
  Day:                      9
  Hour:                    10
  Minute:                   2
  Doy:                    283
  record_count:          1747
  non_zero_count:        1738
  nan_count:                0

    Latitude   Longitude   Freeboard   Thickness
   73.304664  341.581872    1.380368    9.978053
   73.307670  341.579068    0.629276    2.912523
   73.309172  341.577661    1.218225    8.453086
   73.310673  341.576255    1.389799   10.067253
   73.313673  341.573452    1.300202    9.224627
   73.315171  341.572054    0.616820    2.795937
   73.322653  341.565085    1.124129    7.568967
   73.324150  341.563691    1.396061   10.127246
   73.325650  341.562294    1.015107    6.543602
   73.331652  341.556678    1.198733    8.271513
   73.333152  341.555265    1.153296    7.844192
   73.334652  341.553849    1.102845    7.369697
   73.336155  341.552430    0.922849    5.676531
   73.337660  341.551008    0.692392    3.508663
   73.351209  341.538242    0.753544    4.085021
   73.352711  341.536820    1.097377    7.319686
   73.360218  341.529700    0.990806    6.317732
   73.361720  341.528291    1.018197    6.575524
   73.363221  341.526886    1.013816    6.534434
   73.364722  341.525484    0.563996    2.302938
   73.366222  341.524085    1.000165    6.406250
   73.367722  341.522686    1.106928    7.410720
   73.369222  341.521288    1.337629    9.581130
   73.370721  341.519888    1.233387    8.600602
   73.372222  341.518482    1.531292   11.403214
   73.373723  341.517069    1.417218   10.330204
   73.375225  341.515653    1.682150   12.822627
   73.376727  341.514237    0.965674    6.082616
   73.378227  341.512825    1.212039    8.400373
   73.379726  341.511418    0.927755    5.726132
   73.381225  341.510011    1.137075    7.695392
   73.382724  341.508603    1.015939    6.555951
   73.384224  341.507193    1.418429   10.342429
   73.385725  341.505778    0.549196    2.165374
   73.387226  341.504360    0.683013    3.424355
   73.388728  341.502938    0.421979    0.968843
   73.390230  341.501513    0.799287    4.518421
   73.391733  341.500084    0.945034    5.889627
   73.393237  341.498652    0.428066    1.026453
   73.394740  341.497218    0.638533    3.006510
   73.399251  341.492922    0.419004    0.941681
   73.402259  341.490061    0.168865    0.351728
   73.403764  341.488632    1.122603    7.561031
   73.405270  341.487205    1.177868    8.081046
   73.406776  341.485780    1.259002    8.844420
   73.408280  341.484360    0.009848    0.020513
   73.417285  341.475889    0.982067    6.240027
   73.418783  341.474478    0.612170    2.760401
   73.420282  341.473064    0.680905    3.407129
   73.421781  341.471647    0.972689    6.152157
   73.424781  341.468810    0.804523    4.570405
   73.429278  341.464562    1.509275   11.200593
   73.430777  341.463145    1.624039   12.280339
   73.432276  341.461724    1.365515    9.848432
   73.435276  341.458873    1.163686    7.949994
   73.436777  341.457444    1.069040    7.059748
   73.439782  341.454584    0.325221    0.677403
   73.444290  341.450290    1.558618   11.665962
   73.448787  341.445993    0.914252    5.604543
   73.451786  341.443113    2.148930   17.219814
   73.454786  341.440226    0.730309    3.874599
   73.456285  341.438785    1.304225    9.273741
   73.457785  341.437348    0.837411    4.882377
   73.459285  341.435912    0.005261    0.010957
   73.460786  341.434479    1.602792   12.082817
   73.462287  341.433049    0.812990    4.653002
   73.463791  341.431622    0.828085    4.795124
   73.465294  341.430197    1.323479    9.455577
   73.466798  341.428773    0.725528    3.830566
   73.468302  341.427351    0.436325    1.110053
   73.469805  341.425930    0.980026    6.224956
   73.471307  341.424509    1.434005   10.495808
   73.472809  341.423087    1.321233    9.435040
   73.474310  341.421664    0.570715    2.374778
   73.475808  341.420239    0.487978    1.596568
