Converting ICESat/GLAS binary freeboard vector data to ASCII
Wed Feb 12 09:56:23 2014

write_fb:
  file_in:       laser3k0007002.dat
  laser_period:  3k
  track:         0007
  cycle:         002
  file_out:      laser3k0007002.txt
  non_zero_only:        0
  nan_replace:       -999

read_fb:
  Year:                  2008
  Month:                   10
  Day:                      9
  Hour:                    19
  Minute:                  42
  Doy:                    283
  record_count:          2656
  non_zero_count:        2647
  nan_count:                0

    Latitude   Longitude   Freeboard   Thickness
   78.962813  188.540558    0.133700    0.278484
   78.964255  188.537519    0.151064    0.314652
   78.965695  188.534480    0.101143    0.210670
   78.967134  188.531442    0.035485    0.073911
   78.968571  188.528404    0.085550    0.178191
   78.972879  188.519291    0.338464    1.849745
   78.974313  188.516254    0.159532    0.332290
   78.975747  188.513217    0.277971    1.280579
   78.977182  188.510180    0.149894    0.312214
   78.978617  188.507143    0.199579    0.543021
   78.980052  188.504108    0.019031    0.039640
   78.981488  188.501074    0.129772    0.270303
   78.982927  188.498044    0.182996    0.386878
   78.984367  188.495015    0.068996    0.143712
   78.985809  188.491985    0.080960    0.168632
   79.011797  188.437113    0.496563    3.335772
   79.013238  188.434043    0.360774    2.058308
   79.014678  188.430971    0.290311    1.395391
   79.016117  188.427898    0.147756    0.307761
   79.017557  188.424823    0.165019    0.343719
   79.018996  188.421749    0.145685    0.303448
   79.020435  188.418677    0.117313    0.244351
   79.021874  188.415607    0.078721    0.163968
   79.023312  188.412546    0.432743    2.735015
   79.024749  188.409488    0.194889    0.497398
   79.026186  188.406430    0.261334    1.122419
   79.027623  188.403371    0.333175    1.798204
   79.029058  188.400307    0.158009    0.329118
   79.030493  188.397241    0.131192    0.273259
   79.031929  188.394175    0.000000    0.000000
   79.033364  188.391108    0.163887    0.341361
   79.044882  188.366620    0.485730    3.232771
   79.046326  188.363541    0.358289    2.033844
   79.047771  188.360457    0.421825    2.631505
   79.049216  188.357370    0.333268    1.798372
   79.050662  188.354283    0.193536    0.483815
   79.052107  188.351207    0.226128    0.790369
   79.053552  188.348131    0.127921    0.266446
   79.054997  188.345055    0.280272    1.299629
   79.056441  188.341977    0.186525    0.417668
   79.057884  188.338888    0.449861    2.894911
   79.059326  188.335798    0.341018    1.870941
   79.060768  188.332707    0.129002    0.268698
   79.062209  188.329617    0.243021    0.948959
   79.063650  188.326534    0.261256    1.120458
   79.065091  188.323452    0.286397    1.356918
   79.066532  188.320370    0.304633    1.528419
   79.067970  188.317287    0.374976    2.190114
   79.069406  188.314199    0.247863    0.994270
   79.070840  188.311108    0.201832    0.561198
   79.072274  188.308016    0.226812    0.796149
   79.073707  188.304921    0.241125    0.930748
   79.075141  188.301820    0.115498    0.240571
   79.076575  188.298718    0.225725    0.785782
   79.078009  188.295616    0.208700    0.625575
   79.079444  188.292513    0.182263    0.379636
   79.080880  188.289416    0.240691    0.926425
   79.082317  188.286319    0.185136    0.403758
   79.083755  188.283224    0.143764    0.299447
   79.085193  188.280129    0.111972    0.233228
   79.086633  188.277034    0.067037    0.139632
   79.088074  188.273939    0.117061    0.243827
   79.089515  188.270845    0.196883    0.514026
   79.090958  188.267751    0.349435    1.949094
   79.092401  188.264658    0.406469    2.485582
   79.093846  188.261564    0.212685    0.662547
   79.095290  188.258468    0.134779    0.280731
   79.096735  188.255370    0.115076    0.239691
   79.098178  188.252264    0.161280    0.335929
   79.099621  188.249156    0.184428    0.396551
   79.101065  188.246046    0.225831    0.786002
   79.102508  188.242935    0.288191    1.372603
   79.103953  188.239826    0.242002    0.938041
   79.105398  188.236717    0.213411    0.669032
   79.106842  188.233606    0.146209    0.304539
   79.108285  188.230492    0.111670    0.232597
   79.111165  188.224253    0.220648    0.736939
   79.112604  188.221131    0.266271    1.166083
   79.114041  188.218008    0.118472    0.246766
   79.115478  188.214883    0.316345    1.637066
   79.116913  188.211760    0.335248    1.814841
   79.118348  188.208638    0.289646    1.385808
   79.119782  188.205518    0.139555    0.290680
   79.121214  188.202407    0.118944    0.247749
   79.124078  188.196190    0.110484    0.230128
   79.125509  188.193082    0.121936    0.253981
   79.136982  188.168114    0.047320    0.098563
   79.138423  188.164987    0.066810    0.139159
   79.142755  188.155603    0.090768    0.189061
   79.144199  188.152475    0.066255    0.138002
   79.145643  188.149347    0.029586    0.061625
   79.151422  188.136803    0.192773    0.473490
   79.152867  188.133662    0.187237    0.421365
   79.154311  188.130523    0.160949    0.335241
   79.155754  188.127394    0.162310    0.338076
   79.157197  188.124267    0.175859    0.366296
   79.158637  188.121142    0.146800    0.305769
   79.161510  188.114893    0.191098    0.457426
   79.162942  188.111768    0.182124    0.379347
   79.164373  188.108641    0.181844    0.378763
   79.165803  188.105509    0.214361    0.676140
   79.167234  188.102366    0.288943    1.377713
   79.170095  188.096070    0.211736    0.651319
   79.171525  188.092922    0.179630    0.374151
   79.172957  188.089780    0.240062    0.917703
   79.174388  188.086639    0.226669    0.791667
   79.175821  188.083497    0.177076    0.368831
   79.177254  188.080354    0.284708    1.337574
   79.178689  188.077205    0.188330    0.430864
   79.180125  188.074055    0.304892    1.527365
   79.181562  188.070902    0.336471    1.824395
   79.182999  188.067748    0.300801    1.488792
   79.184435  188.064590    0.214691    0.678676
   79.185873  188.061432    0.219098    0.720097
   79.187310  188.058273    0.228069    0.804446
   79.188749  188.055115    0.258662    1.092196
   79.191632  188.048807    0.294292    1.427296
   79.193074  188.045654    0.236931    0.887632
   79.194516  188.042501    0.263433    1.136905
   79.195957  188.039349    0.290802    1.394332
   79.197399  188.036197    0.254876    1.056316
   79.198840  188.033043    0.194418    0.487525
   79.200281  188.029888    0.220310    0.731061
   79.203162  188.023570    0.199377    0.534044
   79.204602  188.020406    0.232793    0.848361
   79.206041  188.017240    0.265131    1.152533
   79.207479  188.014064    0.267677    1.176435
   79.208916  188.010887    0.243982    0.953485
   79.210352  188.007710    0.177244    0.369181
   79.214658  187.998204    0.238792    0.904482
   79.216092  187.995041    0.270125    1.199203
   79.217525  187.991876    0.215670    0.686885
   79.218957  187.988707    0.213850    0.669720
   79.220388  187.985536    0.145356    0.302763
   79.221819  187.982363    0.186578    0.413071
   79.223249  187.979189    0.147999    0.308267
   79.224679  187.976012    0.168821    0.351638
   79.226108  187.972835    0.213485    0.666065
   79.227538  187.969657    0.005888    0.012265
   79.230400  187.963297    0.169776    0.353626
