Converting ICESat/GLAS binary freeboard vector data to ASCII
Wed Feb 12 09:56:51 2014

write_fb:
  file_in:       laser3k0037002.dat
  laser_period:  3k
  track:         0037
  cycle:         002
  file_out:      laser3k0037002.txt
  non_zero_only:        0
  nan_replace:       -999

read_fb:
  Year:                  2008
  Month:                   10
  Day:                     11
  Hour:                    20
  Minute:                   1
  Doy:                    285
  record_count:          3836
  non_zero_count:        3821
  nan_count:                0

    Latitude   Longitude   Freeboard   Thickness
   75.531320  188.183202    0.189027    0.530716
   75.532801  188.181369    0.369721    2.230493
   75.543204  188.168643    0.306909    1.639115
   75.544696  188.166817    0.309495    1.663373
   75.547677  188.163160    0.271835    1.308956
   75.555133  188.153980    0.171750    0.367072
   75.556625  188.152141    0.240104    1.010028
   75.558115  188.150305    0.369462    2.226881
   75.559603  188.148472    0.310962    1.676479
   75.561090  188.146640    0.283025    1.413595
   75.562576  188.144809    0.250405    1.106655
   75.564062  188.142978    0.318965    1.751557
   75.565549  188.141148    0.354038    2.081433
   75.567035  188.139317    0.363431    2.169724
   75.568520  188.137484    0.344825    1.994618
   75.570004  188.135648    0.394220    2.459229
   75.571486  188.133806    0.403016    2.541908
   75.572968  188.131964    0.429063    2.786872
   75.574449  188.130123    0.286794    1.448422
   75.575930  188.128287    0.436544    2.857108
   75.577413  188.126460    0.369604    2.227314
   75.578895  188.124634    0.440523    2.894400
   75.580378  188.122808    0.355038    2.090144
   75.581861  188.120980    0.338500    1.934495
   75.583344  188.119144    0.310098    1.667239
   75.584828  188.117308    0.408574    2.593567
   75.586311  188.115470    0.404242    2.552741
   75.587796  188.113632    0.325077    1.807939
   75.589281  188.111795    0.380943    2.333427
   75.590767  188.109959    0.376690    2.293341
   75.592253  188.108123    0.406733    2.575904
   75.593740  188.106290    0.432459    2.817845
   75.595227  188.104460    0.409526    2.602034
   75.596714  188.102631    0.397198    2.485997
   75.601181  188.097147    0.412170    2.626629
   75.602672  188.095318    0.426119    2.757780
   75.604162  188.093486    0.385085    2.371694
   75.605651  188.091651    0.574051    4.149286
   75.607139  188.089809    0.455526    3.034217
   75.608626  188.087963    0.468737    3.158426
   75.611601  188.084260    0.392344    2.439628
   75.613091  188.082401    0.387657    2.395469
   75.614581  188.080542    0.416712    2.668732
   75.616070  188.078684    0.458422    3.061042
   75.617557  188.076833    0.488055    3.339737
   75.619041  188.074993    0.420466    2.703832
   75.620524  188.073156    0.386287    2.382229
   75.622007  188.071321    0.422965    2.727202
   75.624973  188.067647    0.451299    2.993613
   75.626457  188.065807    0.392089    2.436536
   75.627941  188.063964    0.432774    2.819200
   75.629423  188.062116    0.374527    2.271180
   75.632384  188.058404    0.473293    3.200170
   75.633864  188.056549    0.440950    2.895840
   75.635346  188.054702    0.418001    2.679878
   75.636830  188.052867    0.363533    2.167413
   75.638314  188.051035    0.428194    2.775640
   75.639800  188.049205    0.410319    2.607416
   75.641287  188.047372    0.468319    3.152972
   75.642775  188.045534    0.287595    1.452779
   75.645752  188.041854    0.390235    2.418215
   75.647241  188.040011    0.419207    2.690702
   75.648729  188.038167    0.329298    1.844826
   75.650217  188.036321    0.372744    2.253470
   75.653195  188.032623    0.994020    8.097899
   75.666602  188.015926    0.455229    3.028711
   75.668090  188.014062    0.514279    3.584150
   75.669576  188.012197    0.393384    2.446783
   75.671061  188.010328    0.417100    2.669820
   75.674028  188.006584    0.363383    2.164349
   75.679950  187.999142    0.391975    2.433067
   75.681429  187.997293    0.350543    2.043234
   75.682908  187.995446    0.406921    2.573531
   75.684386  187.993601    0.388682    2.401887
   75.687345  187.989912    0.382514    2.343735
   75.688826  187.988067    0.474655    3.210469
   75.691796  187.984371    0.439960    2.883945
   75.693282  187.982519    0.492833    3.381276
   75.694769  187.980663    0.400666    2.514166
   75.696256  187.978801    0.442111    2.903984
   75.697745  187.976938    0.418356    2.680449
   75.699233  187.975074    0.542409    3.847391
   75.700723  187.973214    0.420996    2.705150
   75.702214  187.971361    0.415243    2.650965
   75.703705  187.969509    0.399557    2.503335
   75.705196  187.967657    0.561937    4.030829
   75.708180  187.963943    0.409144    2.593323
   75.709671  187.962082    0.386945    2.384422
   75.711161  187.960218    0.482350    3.281866
   75.714135  187.956477    0.479979    3.259425
   75.715620  187.954601    0.413409    2.633108
   75.717104  187.952724    0.445848    2.938209
   75.718587  187.950848    0.404735    2.551378
   75.720071  187.948972    0.404620    2.550228
   75.721553  187.947096    0.241243    1.013224
   75.724515  187.943348    0.375379    2.274954
   75.725994  187.941476    0.367889    2.204422
   75.727471  187.939605    0.396786    2.476203
   75.728949  187.937734    0.596887    4.358555
   75.730427  187.935862    0.399870    2.505085
   75.731907  187.933990    0.370195    2.225854
   75.733387  187.932117    0.482992    3.286905
   75.734867  187.930244    0.400441    2.510254
   75.736349  187.928371    0.325503    1.805227
   75.737831  187.926498    0.347994    2.016736
   75.739314  187.924626    0.481222    3.269990
   75.740797  187.922755    0.345515    1.993282
   75.742282  187.920887    0.326824    1.817382
   75.743767  187.919023    0.209141    0.710235
   75.745254  187.917160    0.331474    1.860994
   75.746740  187.915296    0.264754    1.233271
   75.748228  187.913429    0.223031    0.840706
   75.749716  187.911557    0.315318    1.708817
   75.751205  187.909685    0.240620    1.006034
   75.755670  187.904086    0.317843    1.732303
   75.757158  187.902226    0.237662    0.977948
   75.763106  187.894756    0.255152    1.142217
   75.764592  187.892880    0.299340    1.557840
   75.766077  187.891003    0.304680    1.608006
   75.773499  187.881588    0.259369    1.181421
   75.774982  187.879691    0.268843    1.270475
   75.776465  187.877793    0.658329    4.934438
   75.777948  187.875895    0.073454    0.154373
   75.782393  187.870212    0.439129    2.872084
   75.783874  187.868321    0.336465    1.906218
   75.785354  187.866433    0.279636    1.371539
   75.788314  187.862662    0.000000    0.000000
   75.794237  187.855149    0.202856    0.648851
   75.795720  187.853268    0.347927    2.013512
   75.797204  187.851380    0.218587    0.796699
   75.798688  187.849492    0.218359    0.794492
   75.801662  187.845720    0.321535    1.764971
   75.806133  187.840088    0.262995    1.214064
   75.807623  187.838207    0.288039    1.449594
   75.809112  187.836322    0.251715    1.107810
   75.810601  187.834434    0.225202    0.858335
   75.812088  187.832544    0.253530    1.124751
   75.813575  187.830652    0.312182    1.676445
   75.815061  187.828759    0.256823    1.155604
   75.816546  187.826864    0.253646    1.125648
   75.818030  187.824969    0.271628    1.294739
   75.822474  187.819290    0.208687    0.702436
   75.825434  187.815500    0.490716    3.355442
   75.829870  187.809798    0.389455    2.402648
   75.831348  187.807895    0.442838    2.904769
   75.832825  187.805992    0.260737    1.191622
   75.834302  187.804089    0.198283    0.604024
   75.835779  187.802186    0.201861    0.637622
   75.837258  187.800282    0.227378    0.877605
   75.840220  187.796477    0.310329    1.657813
   75.841703  187.794576    0.148454    0.311997
   75.843188  187.792677    0.269129    1.270100
   75.853605  187.779422    0.252047    1.108934
   75.855093  187.777527    0.200970    0.628370
   75.856580  187.775626    0.291740    1.482207
   75.858067  187.773724    0.218211    0.790426
   75.859553  187.771822    0.265575    1.235932
   75.864011  187.766135    0.220488    0.811575
   75.865496  187.764239    0.221631    0.822265
   75.866981  187.762341    0.139820    0.293853
   75.868463  187.760436    0.239172    0.987154
   75.869946  187.758528    0.248583    1.075621
   75.871428  187.756617    0.320098    1.748329
   75.872909  187.754702    0.206927    0.683622
   75.874391  187.752782    0.102643    0.215719
   75.875872  187.750860    0.265729    1.236668
   75.877354  187.748937    0.261179    1.193803
   75.878835  187.747017    0.365797    2.177918
   75.880315  187.745100    0.282466    1.393925
   75.881796  187.743185    0.278799    1.359372
   75.883276  187.741272    0.265584    1.234990
   75.884757  187.739362    0.463856    3.100137
   75.886237  187.737455    0.370354    2.220466
   75.887717  187.735548    0.425825    2.742244
   75.889199  187.733641    0.315277    1.702211
   75.890680  187.731728    0.345399    1.985522
   75.892164  187.729808    0.250838    1.095894
   75.893648  187.727885    0.151526    0.318453
   75.920373  187.693454    0.205960    0.672509
   75.924822  187.687716    0.282089    1.388488
   75.932228  187.678130    0.187154    0.495080
   75.945554  187.660755    0.262344    1.201849
   75.948521  187.656909    0.250411    1.089468
   75.958914  187.643485    0.228985    0.887458
   75.960396  187.641564    0.334472    1.879748
   75.961879  187.639643    0.279887    1.366184
   75.975236  187.622335    0.278331    1.350977
   75.976717  187.620392    0.175321    0.381862
   75.978198  187.618446    0.251514    1.098572
   75.979679  187.616499    0.275507    1.324217
   75.981158  187.614551    0.262584    1.202590
   75.982638  187.612602    0.311714    1.664700
   75.984117  187.610655    0.216767    0.771446
   75.985597  187.608711    0.141884    0.298189
   75.987078  187.606772    0.392139    2.421097
   75.988560  187.604835    0.340926    1.939256
   75.990040  187.602898    0.542093    3.831639
   75.991520  187.600958    0.433219    2.807365
   75.992999  187.599014    0.355356    2.074810
   75.997434  187.593177    0.308454    1.633404
   75.998914  187.591230    0.308297    1.631864
   76.006333  187.581515    0.291046    1.469253
   76.007820  187.579578    0.296683    1.522216
   76.016730  187.567982    0.261402    1.189937
   76.018215  187.566040    0.276149    1.328608
   76.019700  187.564096    0.196562    0.579836
   76.021183  187.562152    0.225325    0.850359
   76.022664  187.560208    0.194267    0.558121
   76.028585  187.552441    0.217775    0.779015
   76.030065  187.550501    0.226978    0.865522
   76.031545  187.548560    0.395824    2.453849
   76.033024  187.546615    0.246235    1.046554
   76.041900  187.534883    0.295252    1.507284
   76.043382  187.532926    0.050368    0.105856
   76.052288  187.521178    0.241006    0.996525
   76.053773  187.519230    0.316429    1.705986
   76.055258  187.517284    0.422167    2.700638
   76.058225  187.513396    0.233385    0.924573
   76.059707  187.511454    0.244776    1.031664
   76.061189  187.509512    0.344322    1.968068
   76.062672  187.507569    0.273740    1.304010
   76.064155  187.505625    0.252780    1.106776
   76.065638  187.503680    0.268984    1.259145
   76.067122  187.501737    0.260017    1.174724
   76.068605  187.499797    0.414274    2.625807
   76.070089  187.497861    0.313739    1.679979
   76.071573  187.495926    0.356648    2.083575
   76.074539  187.492048    0.542994    3.836466
   76.076021  187.490100    0.316490    1.705597
   76.078984  187.486190    0.259954    1.173618
   76.084903  187.478306    0.368875    2.198016
   76.087859  187.474365    0.400250    2.493040
   76.089337  187.472399    0.306361    1.609734
   76.090814  187.470435    0.332515    1.855705
   76.092292  187.468473    0.363363    2.145835
   76.093771  187.466513    0.371165    2.219175
   76.095251  187.464554    0.400404    2.494164
   76.096731  187.462595    0.287961    1.436319
   76.102648  187.454739    0.441835    2.883614
   76.104129  187.452771    0.321692    1.753330
