Converting ICESat/GLAS binary freeboard vector data to ASCII
Wed Feb 12 09:56:56 2014

write_fb:
  file_in:       laser3k0042002.dat
  laser_period:  3k
  track:         0042
  cycle:         002
  file_out:      laser3k0042002.txt
  non_zero_only:        0
  nan_replace:       -999

read_fb:
  Year:                  2008
  Month:                   10
  Day:                     12
  Hour:                     4
  Minute:                   4
  Doy:                    286
  record_count:           302
  non_zero_count:         300
  nan_count:                0

    Latitude   Longitude   Freeboard   Thickness
   82.089888   52.347710    0.315681    2.229656
   82.091224   52.341895    0.316233    2.234552
   82.092561   52.336076    0.254282    1.651464
   82.093899   52.330261    0.210898    1.243038
   82.095237   52.324454    0.234502    1.464786
   82.096575   52.318652    0.220093    1.328942
   82.099252   52.307073    0.127986    0.461861
   82.100589   52.301306    0.211221    1.244585
   82.101926   52.295542    0.290894    1.993805
   82.103262   52.289776    0.164339    0.802968
   82.104597   52.284001    0.132348    0.501722
   82.111261   52.255035    0.259065    1.692329
   82.112592   52.249247    0.327385    2.334741
   82.113924   52.243465    0.267176    1.768046
   82.115257   52.237698    0.251408    1.619416
   82.116591   52.231949    0.231317    1.430129
   82.124604   52.197262    0.000000    0.000000
   82.125938   52.191422    0.103769    0.228184
   82.127271   52.185560    0.000000    0.000000
   82.129936   52.173829    0.147517    0.638858
   82.136605   52.144720    0.305640    2.124910
   82.137942   52.138886    0.230461    1.417383
   82.139278   52.133044    0.150057    0.660705
   82.140613   52.127195    0.189068    1.027396
   82.141945   52.121336    0.205786    1.184383
   82.143274   52.115465    0.277222    1.856110
   82.144602   52.109591    0.336549    2.413924
   82.145931   52.103714    0.303577    2.103456
   82.147261   52.097839    0.239851    1.503667
   82.148593   52.091969    0.184257    0.980386
   82.149927   52.086101    0.260771    1.699890
   82.151261   52.080236    0.076674    0.161859
   82.152596   52.074379    0.127203    0.442784
   82.155265   52.062682    0.166694    0.813698
   82.156599   52.056834    0.159128    0.742235
   82.157932   52.050980    0.131542    0.482429
   82.159264   52.045118    0.101934    0.215183
   82.160596   52.039253    0.270303    1.787214
   82.163259   52.027504    0.384975    2.865391
   82.164592   52.021616    0.259277    1.682612
   82.165924   52.015730    0.246560    1.562681
   82.167256   52.009848    0.241821    1.517809
   82.169918   51.998150    0.249316    1.587731
   82.171248   51.992318    0.255298    1.643718
   82.172578   51.986482    0.239189    1.491887
   82.173908   51.980631    0.283149    1.905137
   82.175237   51.974758    0.264495    1.729358
