Converting ICESat/GLAS binary freeboard vector data to ASCII
Wed Feb 12 09:57:05 2014

write_fb:
  file_in:       laser3k0052002.dat
  laser_period:  3k
  track:         0052
  cycle:         002
  file_out:      laser3k0052002.txt
  non_zero_only:        0
  nan_replace:       -999

read_fb:
  Year:                  2008
  Month:                   10
  Day:                     12
  Hour:                    20
  Minute:                  11
  Doy:                    286
  record_count:           678
  non_zero_count:         675
  nan_count:                0

    Latitude   Longitude   Freeboard   Thickness
   86.020967  110.274003    0.383941    2.408769
   86.020977  110.251610    0.400381    2.563492
   86.020986  110.229192    0.345607    2.048284
   86.020996  110.206753    0.421713    2.764305
   86.021004  110.184305    0.334669    1.945524
   86.021012  110.161857    0.222503    0.890416
   86.021017  110.139415    0.254032    1.187087
   86.021020  110.116981    0.267767    1.316370
   86.021022  110.094556    0.334503    1.944242
   86.021023  110.072141    0.352105    2.109904
   86.021021  110.049747    0.282068    1.451108
   86.021018  110.027372    0.393044    2.495174
   86.021014  110.005002    0.441346    2.949636
   86.021010  109.982634    0.290903    1.534435
   86.021007  109.960251    0.218250    0.851035
   86.021004  109.937855    0.325462    1.859688
   86.021002  109.915454    0.279922    1.431340
   86.021000  109.893050    0.344756    2.041333
   86.020998  109.870643    0.330192    1.904388
   86.020996  109.848235    0.170374    0.400997
   86.020994  109.825831    0.310610    1.720318
   86.020991  109.803434    0.230714    0.968776
   86.020981  109.758690    0.334200    1.942443
   86.020974  109.736332    0.252089    1.170065
   86.020968  109.713978    0.315041    1.762343
   86.020961  109.691614    0.130036    0.274507
   86.020954  109.669244    0.245383    1.107187
   86.020947  109.646875    0.284953    1.479508
   86.020941  109.624509    0.358775    2.174048
   86.020936  109.602153    0.230440    0.966828
   86.020932  109.579805    0.253277    1.181727
   86.020927  109.557463    0.322295    1.831073
   86.020922  109.535126    0.290344    1.530569
   86.020915  109.512794    0.280413    1.437209
   86.020906  109.490468    0.294476    1.569579
   86.020896  109.468139    0.308925    1.705569
   86.020884  109.445804    0.155291    0.327821
   86.020871  109.423458    0.282742    1.459401
   86.020857  109.401097    0.303302    1.652881
   86.020842  109.378726    0.269295    1.333035
   86.020825  109.356344    0.373823    2.316437
   86.020808  109.333949    0.347887    2.072518
   86.020770  109.289127    0.282349    1.456120
   86.020749  109.266704    0.374873    2.326589
   86.020728  109.244271    0.266305    1.305324
   86.020705  109.221832    0.353441    2.125118
   86.020681  109.199392    0.504223    3.543645
   86.020657  109.176951    0.294617    1.571874
   86.020631  109.154517    0.314055    1.754806
