Converting ICESat/GLAS binary freeboard vector data to ASCII
Wed Feb 12 09:57:10 2014

write_fb:
  file_in:       laser3k0057002.dat
  laser_period:  3k
  track:         0057
  cycle:         002
  file_out:      laser3k0057002.txt
  non_zero_only:        0
  nan_replace:       -999

read_fb:
  Year:                  2008
  Month:                   10
  Day:                     13
  Hour:                     4
  Minute:                  14
  Doy:                    287
  record_count:           403
  non_zero_count:         401
  nan_count:                0

    Latitude   Longitude   Freeboard   Thickness
   84.687282   30.846207    0.323269    1.673505
   84.688305   30.833579    0.386962    2.272454
   84.689332   30.820927    0.406877    2.459563
   84.690361   30.808257    0.264913    1.123823
   84.691391   30.795578    0.289639    1.356184
   84.692420   30.782895    0.380155    2.207458
   84.693446   30.770217    0.336255    1.794240
   84.694470   30.757545    0.294717    1.403240
   84.695492   30.744875    0.305611    1.505488
   84.696514   30.732207    0.296190    1.416621
   84.697537   30.719547    0.163265    0.346179
   84.705709   30.618136    0.218062    0.679496
   84.706728   30.605422    0.228376    0.776293
   84.707746   30.592704    0.329989    1.731955
   84.708763   30.579987    0.319348    1.631613
   84.709781   30.567279    0.295430    1.406375
   84.710798   30.554579    0.353139    1.949027
   84.711815   30.541879    0.260095    1.073492
   84.712832   30.529175    0.329789    1.728884
   84.713850   30.516464    0.354135    1.957677
   84.714869   30.503744    0.427786    2.650302
   84.715887   30.491016    0.368597    2.093257
   84.716905   30.478278    0.251400    0.990501
   84.717922   30.465526    0.371124    2.116554
   84.718936   30.452761    0.281177    1.270151
   84.719950   30.439987    0.492952    3.262151
   84.720964   30.427207    0.160657    0.340649
   84.722996   30.401634    0.380667    2.205138
   84.724013   30.388840    0.323805    1.669981
   84.725030   30.376041    0.472342    3.067074
   84.726045   30.363238    0.462806    2.977132
   84.727060   30.350429    0.410328    2.483217
   84.728075   30.337614    0.230029    0.786843
   84.729090   30.324793    0.321523    1.647323
   84.730105   30.311957    0.273409    1.194456
   84.731121   30.299112    0.307587    1.515742
   84.732136   30.286263    0.310712    1.544905
   84.733151   30.273413    0.572955    4.011678
   84.734165   30.260571    0.546627    3.763761
   84.735179   30.247737    0.466058    3.005579
   84.736192   30.234902    0.367366    2.076914
   84.737204   30.222062    0.360982    2.016622
   84.738216   30.209210    0.393241    2.319855
   84.739228   30.196347    0.347947    1.893524
   84.740240   30.183480    0.480772    3.142811
   84.741250   30.170613    0.431835    2.682208
   84.742260   30.157754    0.452484    2.876219
   84.743268   30.144902    0.328325    1.707979
   84.744277   30.132052    0.263182    1.094921
   84.745284   30.119201    0.351053    1.921317
   84.746291   30.106349    0.423940    2.606747
   84.747299   30.093493    0.405334    2.431479
   84.748306   30.080634    0.555098    3.840126
   84.749313   30.067769    0.618827    4.439406
   84.750320   30.054898    0.438702    2.744680
   84.751327   30.042019    0.413344    2.505893
   84.752334   30.029127    0.417775    2.547345
   84.753342   30.016223    0.351994    1.928284
   84.754349   30.003296    0.714227    5.335695
   84.755358   29.990348    0.584556    4.115607
   84.756366   29.977386    0.428782    2.649953
   84.757374   29.964412    0.510949    3.422696
   84.758382   29.951423    0.451460    2.862825
   84.759390   29.938425    0.532840    3.628160
   84.760397   29.925422    0.461759    2.959237
   84.761405   29.912420    0.430244    2.662537
   84.762414   29.899431    0.361151    2.012315
   84.763423   29.886454    0.452833    2.874562
   84.764433   29.873478    0.360842    2.008943
   84.765441   29.860500    0.285293    1.297991
   84.766447   29.847513    0.389080    2.274113
   84.767452   29.834517    0.373609    2.128345
   84.768455   29.821516    0.444749    2.797345
   84.769457   29.808508    0.287388    1.316762
   84.770459   29.795493    0.469759    3.032155
   84.771461   29.782472    0.477144    3.101399
   84.772462   29.769446    0.363310    2.030291
   84.773462   29.756417    0.226915    0.746939
   84.774462   29.743388    0.378360    2.171397
   84.775460   29.730358    0.300720    1.440784
   84.776459   29.717328    0.494661    3.265014
   84.777458   29.704297    0.580162    4.069120
   84.778457   29.691272    0.379568    2.181832
   84.779458   29.678250    0.345784    1.863774
   84.780458   29.665222    0.392154    2.299766
   84.781459   29.652188    0.198645    0.479123
   84.782459   29.639134    0.219448    0.674594
   84.783460   29.626065    0.376697    2.153653
   84.787459   29.573738    0.410136    2.467283
   84.788458   29.560651    0.364310    2.035953
   84.789457   29.547558    0.380267    2.185830
   84.790455   29.534460    0.358415    1.980028
   84.791454   29.521356    0.371544    2.103302
   84.792452   29.508242    0.409095    2.456319
   84.793449   29.495118    0.351805    1.917145
   84.794446   29.481978    0.317613    1.595254
   84.795443   29.468823    0.352740    1.925472
   84.796439   29.455656    0.535518    3.644683
   84.797435   29.442479    0.730301    5.476841
   84.798432   29.429292    0.501443    3.323662
   84.799430   29.416095    0.448737    2.827607
   84.800427   29.402892    0.419859    2.555704
   84.801424   29.389687    0.402461    2.391803
   84.802421   29.376481    0.488718    3.203012
   84.803416   29.363278    0.332019    1.728655
   84.804412   29.350075    0.282284    1.260553
   84.805407   29.336873    0.436706    2.713011
   84.806401   29.323675    0.160338    0.339973
   84.815329   29.204894    0.372042    2.102362
   84.816319   29.191687    0.271317    1.154573
   84.817308   29.178483    0.527124    3.560802
   84.818298   29.165289    0.176356    0.373937
   84.819288   29.152103    0.229190    0.757568
   84.820278   29.138911    0.318722    1.599590
   84.821267   29.125710    0.294225    1.368908
   84.822256   29.112488    0.327078    1.677728
   84.823244   29.099244    0.522445    3.515379
   84.824233   29.085984    0.151893    0.322066
   84.825221   29.072707    0.121609    0.257854
   84.826210   29.059409    0.265254    1.095195
   84.833140   28.966014    0.523039    3.518620
   84.834130   28.952638    0.306359    1.480011
   84.835119   28.939252    0.309409    1.508466
   84.836107   28.925863    0.284052    1.269691
   84.837094   28.912474    0.320372    1.611130
   84.838080   28.899099    0.328780    1.689987
   84.839064   28.885734    0.456799    2.894078
   84.840047   28.872373    0.233615    0.794270
   84.841030   28.859016    0.209895    0.570893
   84.842014   28.845661    0.265600    1.094701
   84.842998   28.832306    0.489567    3.201401
   84.844964   28.805593    0.315997    1.568099
   84.845944   28.792230    0.415830    2.507031
   84.846923   28.778861    0.466848    2.986737
   84.847901   28.765489    0.374686    2.119507
   84.848879   28.752114    0.236212    0.816606
   84.849858   28.738741    0.327295    1.673215
   84.851819   28.711988    0.134408    0.284991
   84.852799   28.698598    0.181546    0.384941
   84.856714   28.644866    0.329412    1.691501
   84.857694   28.631402    0.271311    1.144689
   84.858676   28.617928    0.434511    2.679734
   84.860638   28.590965    0.450084    2.825761
   84.861617   28.577488    0.403234    2.384797
   84.862596   28.564017    0.438365    2.715050
   84.863574   28.550536    0.270575    1.136359
   84.864551   28.537043    0.408052    2.429415
   84.867483   28.496396    0.182957    0.387933
   84.868459   28.482830    0.316091    1.563371
   84.870412   28.455745    0.383935    2.201136
   84.871389   28.442216    0.418677    2.527732
   84.872365   28.428690    0.409152    2.437898
   84.873341   28.415170    0.274068    1.166877
   84.874318   28.401653    0.397258    2.325535
   84.875293   28.388131    0.411871    2.462770
   84.876268   28.374601    0.397959    2.331659
   84.877242   28.361045    0.358205    1.957449
   84.878213   28.347468    0.399775    2.348283
   84.879184   28.333885    0.313986    1.541001
   84.880154   28.320301    0.463090    2.943440
   84.881124   28.306729    0.483631    3.136445
   84.882093   28.293170    0.474820    3.053319
   84.883062   28.279612    0.387542    2.232037
   84.884031   28.266054    0.224769    0.700543
   84.885002   28.252495    0.245612    0.896386
   84.885973   28.238930    0.418937    2.526682
   84.886944   28.225359    0.387536    2.231043
   84.887917   28.211779    0.388634    2.241141
   84.888892   28.198183    0.141444    0.299910
   84.889869   28.184572    0.090280    0.191426
   84.890845   28.170948    0.000000    0.000000
   84.895701   28.102632    0.457645    2.888476
   84.896670   28.088941    0.374928    2.110097
   84.897640   28.075245    0.369952    2.063052
   84.898609   28.061546    0.447266    2.790138
   84.899577   28.047847    0.504884    3.331939
   84.900546   28.034152    0.325429    1.643506
   84.903447   27.993090    0.589526    4.127256
   84.904411   27.979408    0.620270    4.416242
   84.905374   27.965727    0.404273    2.384053
   84.906336   27.952043    0.326739    1.654431
   84.907297   27.938353    0.360965    1.976176
   84.908260   27.924647    0.237553    0.814964
   84.909223   27.910929    0.334663    1.728277
   84.910186   27.897202    0.459881    2.906011
   84.911150   27.883472    0.519979    3.471146
   84.912114   27.869742    0.241284    0.849135
   84.913078   27.856012    0.313195    1.525392
   84.914043   27.842279    0.310120    1.496228
   84.915007   27.828540    0.402731    2.367215
   84.915972   27.814793    0.431520    2.637816
   84.916937   27.801039    0.557632    3.823963
   84.919825   27.759744    0.442977    2.744661
   84.920783   27.745972    0.340193    1.777506
   84.922697   27.718415    0.553314    3.781941
   84.923655   27.704626    0.519441    3.463056
   84.925573   27.677032    0.662160    4.805195
   84.926532   27.663233    0.437400    2.690571
   84.927493   27.649446    0.351011    1.877649
   84.928455   27.635666    0.274802    1.160492
   84.929416   27.621879    0.367438    2.031728
   84.930376   27.608082    0.505802    3.333127
   84.931334   27.594257    0.734209    5.481608
   84.932289   27.580406    0.506267    3.337044
   84.933244   27.566541    0.768226    5.801156
   84.934198   27.552663    0.628090    4.482620
   84.935153   27.538779    0.707887    5.233066
   84.936108   27.524888    0.516797    3.435186
   84.937064   27.510993    0.476651    3.057291
   84.938977   27.483202    0.551920    3.764912
   84.939934   27.469314    0.540721    3.659332
   84.940891   27.455421    0.521337    3.476745
   84.941848   27.441522    0.508127    3.352252
   84.942802   27.427603    0.729626    5.435737
   84.943756   27.413667    0.494624    3.224764
   84.944708   27.399727    0.534210    3.596931
   84.945660   27.385786    0.620889    4.412125
   84.947564   27.357932    0.472490    3.015625
   84.949469   27.330094    0.543228    3.680617
   84.953276   27.274427    0.500486    3.277618
   84.954228   27.260496    0.515598    3.419550
   84.955179   27.246554    0.535302    3.604687
   84.958030   27.204672    0.588299    4.102554
   84.958980   27.190692    0.552058    3.761396
   84.960878   27.162697    0.584363    4.064839
   84.961825   27.148679    0.518778    3.447632
   84.963718   27.120609    0.460940    2.903075
   84.965613   27.092509    0.516376    3.424117
   84.966564   27.078454    0.540231    3.648302
   84.967515   27.064395    0.493055    3.204267
   84.968466   27.050335    0.515966    3.419576
