Converting ICESat/GLAS binary freeboard vector data to ASCII
Wed Feb 12 09:57:27 2014

write_fb:
  file_in:       laser3k0073002.dat
  laser_period:  3k
  track:         0073
  cycle:         002
  file_out:      laser3k0073002.txt
  non_zero_only:        0
  nan_replace:       -999

read_fb:
  Year:                  2008
  Month:                   10
  Day:                     14
  Hour:                     6
  Minute:                   1
  Doy:                    288
  record_count:          5062
  non_zero_count:        5039
  nan_count:                0

    Latitude   Longitude   Freeboard   Thickness
   85.020004  359.096072    0.207857    0.442672
   85.020937  359.081743    0.172941    0.368311
   85.021871  359.067395    0.265934    0.697188
   85.022803  359.053028    0.278058    0.811110
   85.023736  359.038635    0.274046    0.773224
   85.024670  359.024212    0.252342    0.568904
   85.025605  359.009742    0.501846    2.915936
   85.026542  358.995212    0.231990    0.494067
   85.027480  358.980664    0.298470    1.002435
   85.028417  358.966107    0.220745    0.470119
   85.029353  358.951565    0.367835    1.654694
   85.030289  358.937056    0.212658    0.452897
   85.031223  358.922558    0.229927    0.489674
   85.032156  358.908075    0.226658    0.482713
   85.033088  358.893607    0.423386    2.176728
   85.034018  358.879159    0.279175    0.819948
   85.034946  358.864721    0.284193    0.867009
   85.035872  358.850288    0.265417    0.690246
   85.036795  358.835855    0.218734    0.465836
   85.037716  358.821414    0.298642    1.002525
   85.038634  358.806978    0.268833    0.721967
   85.039551  358.792549    0.276674    0.795589
   85.040464  358.778130    0.317961    1.183851
   85.041374  358.763728    0.241706    0.514760
   85.042284  358.749333    0.283396    0.858416
   85.043193  358.734945    0.229930    0.489681
   85.044105  358.720565    0.338716    1.378551
   85.045021  358.706193    0.281433    0.839537
   85.045937  358.691815    0.259189    0.630145
   85.046854  358.677426    0.264905    0.683774
   85.047770  358.663010    0.396720    1.923670
   85.048683  358.648558    0.213542    0.454778
   85.049597  358.634086    0.263451    0.669690
   85.050511  358.619595    0.211362    0.450136
   85.051425  358.605091    0.143203    0.304978
   85.052342  358.590577    0.238489    0.507907
