Converting ICESat/GLAS binary freeboard vector data to ASCII
Wed Feb 12 09:58:02 2014

write_fb:
  file_in:       laser3k0107002.dat
  laser_period:  3k
  track:         0107
  cycle:         002
  file_out:      laser3k0107002.txt
  non_zero_only:        0
  nan_replace:       -999

read_fb:
  Year:                  2008
  Month:                   10
  Day:                     16
  Hour:                    12
  Minute:                  47
  Doy:                    290
  record_count:          8277
  non_zero_count:        8247
  nan_count:                0

    Latitude   Longitude   Freeboard   Thickness
   82.727452  276.623977    1.095559    8.065166
   82.728745  276.617206    0.912762    6.345674
   82.730039  276.610435    0.511895    2.574720
   82.731334  276.603657    0.443051    1.927221
   82.732631  276.596863    0.270446    0.581008
   82.733928  276.590062    0.149763    0.321741
   82.735226  276.583253    0.381916    1.352529
   82.736523  276.576435    0.556724    2.997143
   82.737818  276.569606    0.612106    3.518279
   82.739113  276.562770    0.789489    5.187122
   82.740408  276.555930    0.611611    3.513905
   82.741701  276.549086    0.600884    3.413132
   82.742994  276.542242    0.341212    0.970450
   82.744287  276.535396    0.340117    0.960289
   82.746871  276.521699    0.507049    2.530958
   82.748164  276.514849    0.350009    1.053767
   82.749457  276.507997    0.490060    2.371414
   82.750749  276.501145    0.460552    2.093962
   82.752040  276.494291    0.521366    2.666197
   82.753329  276.487436    0.396908    1.495518
   82.754617  276.480581    0.449495    1.990359
   82.757190  276.466868    0.351319    1.067068
   82.758475  276.460009    0.459186    2.081953
   82.759760  276.453150    0.427266    1.781810
   82.761046  276.446291    0.375886    1.298593
   82.763624  276.432579    0.291223    0.625645
   82.764915  276.425726    0.677930    4.140447
   82.766207  276.418870    0.582330    3.241239
   82.767500  276.412010    0.451944    2.014799
   82.768793  276.405142    0.355025    1.103189
   82.770085  276.398269    0.469318    2.178520
   82.771379  276.391391    0.711447    4.456452
   82.772671  276.384506    0.347696    1.034659
   82.773963  276.377609    0.401846    1.544206
   82.776547  276.363807    0.424360    1.756289
   82.777840  276.356907    0.320071    0.775346
   82.780428  276.343135    0.464787    2.137016
   82.783018  276.329350    0.233791    0.502261
   82.784312  276.322441    0.413444    1.654433
   82.785606  276.315525    0.473657    2.221014
   82.786900  276.308603    0.454338    2.039420
   82.788193  276.301677    0.371779    1.262900
   82.789484  276.294746    0.568747    3.115986
   82.790774  276.287811    0.327949    0.850855
   82.792063  276.280874    0.506161    2.527499
   82.794636  276.266988    0.310068    0.683062
   82.795921  276.260043    0.240437    0.516540
   82.798488  276.246165    0.579781    3.220762
   82.799772  276.239250    0.592584    3.341344
   82.801056  276.232338    0.568242    3.112492
   82.803623  276.218506    0.570963    3.138367
   82.804907  276.211568    0.418556    1.704761
   82.806191  276.204624    0.353969    1.097306
   82.807475  276.197674    0.536693    2.816394
   82.808758  276.190721    0.416797    1.688631
   82.811321  276.176812    0.197024    0.423273
   82.812604  276.169855    0.700827    4.361016
   82.813887  276.162898    0.508099    2.548102
   82.815174  276.155946    0.520680    2.666597
   82.816462  276.148992    0.748139    4.806512
   82.817751  276.142037    0.621725    3.617433
   82.819041  276.135080    0.481497    2.298404
   82.821625  276.121155    0.497132    2.445770
   82.822917  276.114184    0.972133    6.914404
   82.824209  276.107204    0.274362    0.589422
   82.825501  276.100206    0.489104    2.370669
   82.826792  276.093202    0.520971    2.670591
   82.830663  276.072167    0.795149    5.250300
   82.831952  276.065155    0.661915    3.997062
   82.834528  276.051134    0.487959    2.360878
   82.835814  276.044135    0.401891    1.551346
   82.838383  276.030136    0.476787    2.256193
   82.839665  276.023130    0.366984    1.223387
   82.840944  276.016111    0.423960    1.759512
   82.843500  276.002061    0.847188    5.741241
   82.844777  275.995034    0.411218    1.640061
   82.847334  275.980987    0.515464    2.621024
   82.848613  275.973968    0.532527    2.781678
   82.851176  275.959953    0.644809    3.838234
   82.852459  275.952953    0.439317    1.905239
   82.853742  275.945952    0.431147    1.828523
   82.856309  275.931929    0.814435    5.434517
   82.857593  275.924904    0.166679    0.358083
   82.858877  275.917870    0.393957    1.479218
   82.861448  275.903755    0.613071    3.540777
   82.862734  275.896680    0.361988    1.178900
   82.864020  275.889604    0.549939    2.947157
   82.865306  275.882532    0.458798    2.089899
   82.866592  275.875484    0.412973    1.658951
   82.867878  275.868438    0.655679    3.942308
   82.869164  275.861394    0.487042    2.356026
   82.870450  275.854347    0.443998    1.951230
   82.871736  275.847290    0.457109    2.074705
   82.874308  275.833160    0.354925    1.113709
   82.878155  275.811915    0.522708    2.692514
   82.879435  275.804824    0.592939    3.353341
   82.880715  275.797730    0.820931    5.498271
   82.881994  275.790638    0.785587    5.165920
   82.883273  275.783545    0.489124    2.377134
   82.884552  275.776453    1.098998    8.114561
   82.885830  275.769363    0.493163    2.415399
   82.887109  275.762283    0.577941    3.213072
   82.888387  275.755202    0.698062    4.343235
   82.890944  275.741024    0.446901    1.980756
   82.892221  275.733914    0.235864    0.506715
   82.893499  275.726796    0.163176    0.350558
   82.896055  275.712536    0.591573    3.342280
   82.897333  275.705389    0.456224    2.069145
   82.898612  275.698241    1.073938    7.880327
   82.899891  275.691094    0.374965    1.304999
   82.901172  275.683954    0.533453    2.796084
   82.902453  275.676838    0.588566    3.314691
   82.903734  275.669726    0.309685    0.691303
   82.905017  275.662615    0.426398    1.789399
   82.906299  275.655499    0.290058    0.623143
   82.907583  275.648370    0.367480    1.235408
   82.908867  275.641233    0.395501    1.499152
   82.910151  275.634090    0.407764    1.614656
   82.911436  275.626939    0.367519    1.236196
   82.912721  275.619775    0.469088    2.191828
   82.914006  275.612607    0.467692    2.178835
   82.915291  275.605434    0.481466    2.308550
   82.916574  275.598259    0.425240    1.779751
   82.917855  275.591088    0.548661    2.940948
   82.919135  275.583915    0.444041    1.956900
   82.920414  275.576741    0.339125    0.970054
   82.921693  275.569566    0.560054    3.048547
   82.925524  275.548036    0.811645    5.415767
   82.926798  275.540854    0.332316    0.906691
   82.928070  275.533665    0.354148    1.112208
   82.930610  275.519279    0.595346    3.381518
   82.931880  275.512084    0.599079    3.416772
   82.933148  275.504889    0.479857    2.295352
   82.934417  275.497695    0.457731    2.087343
   82.935687  275.490502    0.622435    3.636910
   82.936957  275.483313    0.528413    2.752546
   82.938230  275.476137    0.327441    0.862069
   82.939504  275.468959    0.194778    0.418449
   82.940779  275.461778    0.351306    1.086852
   82.942055  275.454587    0.333601    0.920437
   82.943332  275.447375    0.613668    3.555264
   82.944609  275.440152    0.919122    6.428909
   82.945886  275.432920    0.976212    6.966108
   82.947164  275.425679    0.855537    5.831024
   82.948442  275.418426    0.749302    4.831773
   82.951001  275.403912    0.289671    0.622312
   82.952281  275.396662    0.435855    1.883486
   82.953565  275.389434    0.520201    2.677092
   82.954849  275.382211    0.582268    3.261121
   82.956132  275.374989    0.446207    1.981285
   82.957415  275.367765    0.510446    2.585742
   82.958694  275.360533    0.570700    3.152709
   82.959971  275.353295    0.508819    2.570715
   82.961248  275.346049    0.224732    0.482800
   82.962524  275.338795    0.000000    0.000000
   82.963799  275.331522    0.023776    0.051078
   82.965074  275.324242    0.004007    0.008608
   82.966348  275.316959    0.220533    0.473780
   82.967622  275.309675    0.816847    5.469274
   82.968894  275.302395    0.969678    6.907145
   82.971435  275.287843    0.619806    3.616056
   82.972704  275.280577    0.772697    5.054488
   82.973972  275.273328    0.437786    1.904009
   82.975239  275.266082    0.520572    2.682936
   82.976507  275.258836    0.761537    4.949913
   82.977774  275.251587    0.861234    5.887938
   82.979041  275.244325    0.771906    5.047736
   82.980308  275.237057    0.830049    5.594841
   82.981576  275.229781    0.937334    6.604247
   82.982845  275.222497    0.485680    2.355528
   82.984114  275.215201    0.486549    2.363843
   82.985384  275.207898    0.476222    2.266828
   82.986655  275.200592    0.476048    2.265335
   82.987927  275.193284    0.595863    3.392612
   82.989202  275.185981    0.622222    3.640720
   82.990478  275.178676    0.627621    3.691645
   82.991754  275.171369    0.678683    4.172137
   82.993031  275.164058    0.497314    2.466077
   82.994307  275.156744    0.580255    3.246474
   82.995583  275.149422    0.326844    0.862691
   82.998134  275.134754    0.553664    2.996735
   82.999409  275.127390    0.265560    0.570512
   83.000684  275.120021    0.182612    0.392313
   83.001959  275.112650    0.414265    1.685786
   83.003234  275.105285    0.388012    1.438949
   83.004510  275.097940    0.467353    2.185477
   83.005786  275.090600    0.587729    3.318033
   83.008335  275.075927    0.767644    5.010828
   83.010875  275.061243    0.469790    2.209100
   83.012142  275.053901    0.337775    0.967323
   83.013408  275.046559    0.348031    1.063949
   83.014671  275.039219    0.413685    1.681713
   83.015933  275.031879    0.591886    3.358251
   83.017196  275.024536    0.475796    2.266290
   83.018459  275.017189    0.448770    2.012180
   83.019723  275.009836    0.436874    1.900411
   83.020989  275.002479    0.694441    4.323568
   83.022256  274.995121    0.289030    0.620935
   83.023523  274.987761    0.371188    1.282890
   83.024791  274.980407    0.185928    0.399436
   83.026059  274.973049    0.433339    1.867847
   83.027328  274.965684    0.329345    0.889675
   83.028597  274.958308    0.229281    0.492572
   83.029867  274.950910    0.420534    1.747805
   83.031138  274.943502    0.505950    2.551474
   83.032409  274.936085    0.563919    3.096952
   83.033680  274.928660    0.306139    0.672068
   83.034952  274.921225    0.513512    2.623029
   83.036224  274.913788    0.559199    3.052968
   83.037497  274.906352    0.623515    3.658149
   83.038770  274.898921    0.445017    1.979092
   83.040044  274.891510    0.549851    2.965445
   83.041319  274.884103    0.551774    2.983676
   83.043866  274.869284    0.434403    1.879800
   83.045139  274.861861    0.604616    3.481190
   83.046410  274.854433    0.419337    1.738344
   83.047680  274.847000    0.383189    1.398434
   83.048948  274.839561    0.506595    2.559494
   83.050214  274.832112    0.240649    0.516996
   83.051479  274.824660    0.705130    4.427451
   83.054007  274.809761    0.320891    0.813067
   83.055271  274.802328    0.499545    2.493865
   83.056534  274.794897    0.265660    0.570727
   83.057797  274.787467    0.706915    4.444940
   83.059060  274.780036    0.305831    0.671943
   83.060323  274.772600    0.411506    1.666200
   83.061587  274.765161    0.367648    1.253744
   83.062850  274.757719    0.390397    1.467888
   83.064113  274.750273    0.354094    1.126514
   83.065375  274.742822    0.358905    1.171907
   83.066638  274.735367    0.374317    1.317032
   83.067900  274.727907    0.498976    2.489880
   83.069163  274.720444    0.374348    1.317598
   83.070425  274.712978    0.294195    0.632029
   83.071688  274.705507    0.402675    1.584351
   83.072952  274.698030    0.685938    4.249238
   83.074216  274.690545    0.611358    3.547779
   83.075482  274.683047    0.490202    2.408166
   83.076749  274.675543    0.464330    2.164914
   83.078016  274.668035    0.678379    4.178678
   83.079285  274.660524    0.679470    4.189085
   83.081825  274.645504    0.000000    0.000000
   83.083095  274.637993    0.116351    0.249962
   83.084365  274.630481    0.706542    4.444308
   83.085634  274.622969    0.731348    4.677802
   83.086902  274.615456    0.076311    0.163943
   83.088169  274.607942    0.589896    3.347392
   83.089435  274.600426    0.447525    2.008201
   83.090700  274.592907    0.399242    1.554118
   83.091963  274.585386    0.495900    2.463554
   83.093225  274.577864    0.829292    5.600021
   83.094487  274.570342    0.367695    1.257758
   83.097009  274.555300    0.412163    1.676355
   83.098269  274.547778    0.591402    3.362659
   83.099528  274.540255    0.432690    1.869737
   83.100784  274.532732    0.437366    1.913865
   83.102038  274.525208    0.360200    1.188069
   83.103293  274.517683    0.547578    2.950938
   83.104547  274.510157    0.336167    0.962253
   83.105802  274.502629    0.239926    0.515442
   83.107058  274.495101    0.365026    1.234015
   83.108314  274.487571    0.373050    1.309633
   83.109571  274.480040    0.104211    0.223879
   83.110829  274.472515    0.016857    0.036215
   83.112088  274.464985    0.003553    0.007633
   83.113347  274.457446    0.015536    0.033376
   83.114608  274.449893    0.079545    0.170890
   83.115869  274.442311    0.406981    1.629657
   83.117132  274.434717    0.582515    3.281107
   83.118395  274.427114    0.422505    1.775970
   83.119659  274.419506    0.299413    0.643240
   83.120924  274.411900    0.526867    2.758021
   83.122189  274.404291    0.393943    1.507698
   83.123455  274.396680    0.300787    0.646192
   83.124722  274.389068    0.629228    3.721374
   83.125990  274.381452    0.135138    0.290322
   83.127258  274.373837    0.071191    0.152943
   83.128526  274.366221    0.056032    0.120376
   83.129793  274.358606    0.095104    0.204315
   83.131059  274.350994    0.092564    0.198859
   83.132323  274.343383    0.527316    2.763485
   83.134847  274.328162    0.315747    0.773454
   83.136105  274.320553    0.416567    1.722037
   83.137362  274.312943    0.234547    0.503886
   83.138618  274.305333    0.179363    0.385331
   83.139874  274.297721    0.932346    6.574560
   83.141131  274.290106    0.485577    2.371785
   83.142387  274.282489    0.642559    3.848705
   83.143643  274.274872    0.829651    5.608882
   83.144899  274.267255    0.592462    3.377707
   83.146154  274.259642    0.447869    2.017604
   83.147409  274.252028    0.471954    2.244318
   83.148664  274.244408    0.666626    4.075797
   83.149919  274.236780    0.514558    2.645378
   83.151174  274.229135    0.441903    1.962027
   83.153684  274.213822    0.797341    5.306025
   83.154940  274.206157    0.610978    3.552986
   83.156198  274.198485    0.430136    1.851877
   83.157456  274.190810    0.538187    2.868493
   83.158716  274.183133    0.473996    2.264758
   83.159975  274.175457    0.450421    2.043116
   83.161234  274.167790    0.455252    2.088707
   83.162494  274.160122    0.998287    7.197359
   83.163754  274.152451    0.943048    6.677843
   83.165015  274.144773    0.227751    0.489285
   83.166278  274.137080    0.746565    4.829732
   83.167542  274.129381    0.465555    2.186313
   83.168805  274.121677    1.095673    8.114182
   83.170068  274.113968    0.690748    4.305054
   83.171330  274.106256    1.372330   10.717065
   83.172591  274.098541    0.469388    2.222929
   83.173851  274.090827    0.615099    3.593818
   83.175111  274.083114    0.308875    0.713200
   83.176369  274.075407    0.766921    5.022335
   83.177626  274.067703    0.876224    6.050724
   83.178882  274.060004    0.389412    1.471250
   83.180136  274.052311    0.612627    3.571246
   83.181389  274.044630    0.439367    1.941471
   83.182641  274.036952    0.401454    1.584943
   83.183891  274.029277    0.561373    3.089498
   83.185141  274.021600    0.561509    3.090913
   83.186389  274.013920    0.494222    2.458059
   83.188883  273.998546    0.363501    1.228594
   83.190131  273.990848    0.521765    2.717566
   83.191380  273.983135    0.217884    0.468087
   83.192630  273.975414    0.245650    0.527739
   83.193880  273.967685    0.348327    1.086388
   83.195131  273.959949    0.297835    0.639849
   83.196382  273.952208    0.959498    6.836161
   83.197634  273.944459    0.395024    1.526099
   83.198887  273.936703    0.675131    4.161294
   83.200141  273.928937    0.767671    5.031991
   83.201397  273.921154    0.806223    5.394794
   83.202654  273.913366    0.447572    2.020983
   83.203911  273.905573    0.901309    6.289579
   83.205169  273.897779    0.676312    4.173090
   83.206426  273.889991    0.321936    0.839501
   83.207684  273.882203    0.244465    0.525193
   83.210198  273.866628    0.261416    0.561608
   83.211454  273.858840    0.234500    0.503786
   83.212710  273.851051    0.669611    4.110879
   83.213966  273.843261    0.367002    1.264277
   83.215220  273.835470    0.532363    2.820019
   83.216473  273.827675    0.649104    3.918376
   83.217724  273.819879    0.576169    3.232394
   83.218975  273.812083    1.100765    8.167583
   83.220225  273.804287    1.049342    7.683962
   83.221474  273.796492    0.507091    2.582965
   83.222722  273.788698    0.487204    2.396018
   83.223970  273.780906    0.494424    2.464070
   83.225217  273.773116    0.208510    0.447949
   83.226463  273.765333    0.403954    1.613268
   83.227708  273.757550    0.688051    4.285994
   83.228954  273.749763    0.616578    3.613767
   83.230200  273.741969    0.597813    3.437369
   83.231448  273.734159    1.268691    9.748683
   83.232696  273.726342    0.477270    2.303653
   83.233944  273.718518    0.440060    1.953751
   83.235192  273.710688    0.571652    3.191818
   83.236439  273.702859    0.588424    3.349732
   83.237686  273.695022    0.206884    0.444457
   83.240183  273.679327    0.609310    3.546625
   83.241434  273.671457    0.663260    4.054292
   83.242686  273.663582    0.920262    6.472135
   83.243939  273.655703    1.090575    8.074463
   83.245191  273.647825    0.595069    3.413210
