Converting ICESat/GLAS binary freeboard vector data to ASCII
Wed Feb 12 09:58:23 2014

write_fb:
  file_in:       laser3k0129002.dat
  laser_period:  3k
  track:         0129
  cycle:         002
  file_out:      laser3k0129002.txt
  non_zero_only:        0
  nan_replace:       -999

read_fb:
  Year:                  2008
  Month:                   10
  Day:                     18
  Hour:                     0
  Minute:                  13
  Doy:                    292
  record_count:          3361
  non_zero_count:        3348
  nan_count:                0

    Latitude   Longitude   Freeboard   Thickness
   76.835961  120.490253    0.103487    0.478115
   76.837436  120.488071    0.231721    1.684403
   76.838914  120.485887    0.137369    0.796748
   76.871334  120.437930    0.256772    1.918821
   76.872806  120.435746    0.256376    1.915045
   76.874278  120.433566    0.244989    1.807866
   76.875751  120.431390    0.264549    1.991818
   76.877224  120.429213    0.309853    2.417953
   76.878699  120.427034    0.328001    2.588630
   76.880175  120.424850    0.329380    2.601548
   76.881652  120.422660    0.335601    2.660010
   76.883130  120.420469    0.350647    2.801503
   76.884608  120.418276    0.289780    2.228854
   76.886086  120.416084    0.244826    1.805896
   76.887563  120.413894    0.312945    2.446663
   76.889041  120.411702    0.287152    2.203969
   76.890517  120.409508    0.250296    1.857193
   76.891992  120.407305    0.299275    2.317901
   76.893466  120.405096    0.259592    1.944540
   76.894939  120.402886    0.259454    1.943183
   76.896412  120.400678    0.198488    1.369604
   76.897884  120.398480    0.267507    2.018833
   76.899356  120.396292    0.362438    2.911829
   76.900828  120.394106    0.227479    1.642169
   76.902300  120.391921    0.166463    1.068119
   76.903772  120.389734    0.288027    2.211663
   76.905244  120.387543    0.337988    2.681602
   76.906716  120.385350    0.238075    1.741637
   76.908187  120.383156    0.178178    1.178109
   76.914054  120.374358    0.243588    1.793229
   76.915523  120.372158    0.283585    2.169441
   76.916994  120.369961    0.108773    0.524870
   76.918465  120.367765    0.091876    0.406355
   76.919936  120.365570    0.256034    1.910100
   76.922873  120.361193    0.264902    1.993415
   76.924341  120.359005    0.158085    0.988501
   76.925809  120.356816    0.243383    1.790870
   76.927279  120.354620    0.184301    1.235013
   76.928750  120.352418    0.255572    1.905424
   76.931694  120.348003    0.165882    1.061571
   76.933169  120.345788    0.196253    1.347233
   76.934646  120.343570    0.233162    1.694398
   76.936123  120.341350    0.188568    1.274826
   76.937600  120.339130    0.243417    1.790752
   76.939076  120.336914    0.322807    2.537549
   76.940551  120.334703    0.261557    1.961290
   76.942026  120.332492    0.204557    1.425020
